id,stereotype,implicit
s_4277,0,0
s_4278,0,0
s_4279,0,0
s_4280,1,0
s_4281,1,0
s_4282,1,0
s_4283,1,0
s_4284,1,0
s_4285,1,0
s_4286,0,0
s_4287,1,0
s_4288,0,0
s_4289,0,0
s_4290,1,0
s_4291,0,0
s_4292,0,0
s_4293,0,0
s_4294,0,0
s_4295,0,0
s_4296,0,0
s_4297,1,1
s_4298,0,0
s_4299,0,0
s_4300,0,0
s_4301,1,0
s_4302,0,0
s_4303,0,0
s_4304,0,0
s_4305,0,0
s_4306,0,0
s_4307,0,0
s_4308,0,0
s_4309,0,0
s_4310,0,0
s_4311,0,0
s_4312,0,0
s_4313,0,0
s_4314,1,0
s_4315,0,0
s_4316,1,0
s_4317,1,0
s_4318,0,0
s_4319,0,0
s_4320,0,0
s_4321,0,0
s_4322,0,0
s_4323,0,0
s_4324,1,0
s_4325,0,0
s_4326,0,0
s_4327,0,0
s_4328,0,0
s_4329,0,0
s_4330,1,1
s_4331,0,0
s_4332,1,1
s_4333,0,0
s_4334,0,0
s_4335,1,0
s_4336,0,0
s_4337,0,0
s_4338,0,0
s_4339,0,0
s_4340,0,0
s_4341,0,0
s_4342,0,0
s_4343,0,0
s_4344,1,0
s_4345,1,1
s_4346,0,0
s_4347,0,0
s_4348,0,0
s_4349,1,0
s_4350,0,0
s_4351,0,0
s_4352,0,0
s_4353,0,0
s_4354,0,0
s_4355,0,0
s_4356,1,1
s_4357,0,0
s_4358,0,0
s_4359,0,0
s_4360,0,0
s_4361,0,0
s_4362,0,0
s_4363,0,0
s_4364,0,0
s_4365,0,0
s_4366,1,0
s_4367,0,0
s_4368,0,0
s_4369,0,0
s_4370,1,1
s_4371,1,1
s_4372,1,0
s_4373,1,0
s_4374,0,0
s_4375,0,0
s_4376,1,1
s_4377,1,0
s_4378,0,0
s_4379,1,0
s_4380,1,0
s_4381,0,0
s_4382,0,0
s_4383,1,0
s_4384,1,0
s_4385,1,0
s_4386,0,0
s_4387,0,0
s_4388,0,0
s_4389,0,0
s_4390,0,0
s_4391,0,0
s_4392,0,0
s_4393,0,0
s_4394,0,0
s_4395,1,1
s_4396,0,0
s_4397,0,0
s_4398,1,0
s_4399,1,1
s_4400,0,0
s_4401,1,0
s_4402,0,0
s_4403,0,0
s_4404,0,0
s_4405,0,0
s_4406,0,0
s_4407,0,0
s_4408,0,0
s_4409,0,0
s_4410,0,0
s_4411,0,0
s_4412,1,0
s_4413,0,0
s_4414,1,0
s_4415,1,0
s_4416,1,0
s_4417,1,0
s_4418,0,0
s_4419,1,0
s_4420,0,0
s_4421,1,0
s_4422,1,0
s_4423,1,0
s_4424,1,0
s_4425,1,1
s_4426,0,0
s_4427,0,0
s_4428,0,0
s_4429,0,0
s_4430,0,0
s_4431,0,0
s_4432,1,0
s_4433,1,1
s_4434,0,0
s_4435,0,0
s_4436,1,0
s_4437,1,1
s_4438,0,0
s_4439,0,0
s_4440,0,0
s_4441,0,0
s_4442,1,1
s_4443,0,0
s_4444,0,0
s_4445,0,0
s_4446,0,0
s_4447,1,1
s_4448,1,0
s_4449,0,0
s_4450,0,0
s_4451,0,0
s_4452,0,0
s_4453,0,0
s_4454,0,0
s_4455,0,0
s_4456,0,0
s_4457,1,0
s_4458,1,0
s_4459,0,0
s_4460,1,1
s_4461,0,0
s_4462,0,0
s_4463,1,0
s_4464,0,0
s_4465,0,0
s_4466,0,0
s_4467,0,0
s_4468,0,0
s_4469,0,0
s_4470,1,1
s_4471,0,0
s_4472,0,0
s_4473,0,0
s_4474,0,0
s_4475,0,0
s_4476,1,0
s_4477,1,1
s_4478,0,0
s_4479,1,1
s_4480,1,1
s_4481,0,0
s_4482,0,0
s_4483,0,0
s_4484,0,0
s_4485,1,1
s_4486,0,0
s_4487,0,0
s_4488,0,0
s_4489,0,0
s_4490,0,0
s_4491,1,0
s_4492,0,0
s_4493,0,0
s_4494,0,0
s_4495,0,0
s_4496,0,0
s_4497,0,0
s_4498,1,1
s_4499,0,0
s_4500,0,0
s_4501,0,0
s_4502,0,0
s_4503,0,0
s_4504,1,1
s_4505,0,0
s_4506,0,0
s_4507,0,0
s_4508,1,1
s_4509,1,0
s_4510,0,0
s_4511,0,0
s_4512,0,0
s_4513,0,0
s_4514,0,0
s_4515,1,1
s_4516,0,0
s_4517,1,1
s_4518,0,0
s_4519,0,0
s_4520,0,0
s_4521,0,0
s_4522,0,0
s_4523,0,0
s_4524,0,0
s_4525,0,0
s_4526,0,0
s_4527,1,0
s_4528,1,0
s_4529,0,0
s_4530,1,0
s_4531,1,0
s_4532,1,0
s_4533,0,0
s_4534,1,0
s_4535,0,0
s_4536,0,0
s_4537,1,0
s_4538,1,0
s_4539,0,0
s_4540,0,0
s_4541,1,0
s_4542,0,0
s_4543,0,0
s_4544,0,0
s_4545,0,0
s_4546,0,0
s_4547,1,1
s_4548,0,0
s_4549,0,0
s_4550,0,0
s_4551,0,0
s_4552,0,0
s_4553,0,0
s_4554,0,0
s_4555,1,0
s_4556,0,0
s_4557,0,0
s_4558,0,0
s_4559,0,0
s_4560,0,0
s_4561,0,0
s_4562,0,0
s_4563,0,0
s_4564,0,0
s_4565,0,0
s_4566,1,0
s_4567,1,0
s_4568,1,1
s_4569,0,0
s_4570,0,0
s_4571,0,0
s_4572,0,0
s_4573,0,0
s_4574,0,0
s_4575,1,0
s_4576,0,0
s_4577,0,0
s_4578,1,0
s_4579,0,0
s_4580,0,0
s_4581,0,0
s_4582,0,0
s_4583,0,0
s_4584,1,1
s_4585,0,0
s_4586,0,0
s_4587,0,0
s_4588,0,0
s_4589,1,1
s_4590,0,0
s_4591,0,0
s_4592,0,0
s_4593,0,0
s_4594,0,0
s_4595,0,0
s_4596,1,1
s_4597,0,0
s_4598,1,1
s_4599,1,0
s_4600,0,0
s_4601,0,0
s_4602,1,0
s_4603,0,0
s_4604,0,0
s_4605,1,1
s_4606,1,0
s_4607,0,0
s_4608,0,0
s_4609,0,0
s_4610,0,0
s_4611,1,0
s_4612,1,0
s_4613,0,0
s_4614,0,0
s_4615,0,0
s_4616,1,0
s_4617,1,0
s_4618,0,0
s_4619,0,0
s_4620,1,0
s_4621,1,0
s_4622,1,0
s_4623,1,1
s_4624,1,0
s_4625,1,0
s_4626,1,0
s_4627,1,1
s_4628,1,0
s_4629,1,0
s_4630,1,0
s_4631,0,0
s_4632,1,0
s_4633,1,1
s_4634,0,0
s_4635,0,0
s_4636,0,0
s_4637,0,0
s_4638,0,0
s_4639,1,0
s_4640,1,1
s_4641,0,0
s_4642,0,0
s_4643,1,0
s_4644,0,0
s_4645,1,0
s_4646,1,0
s_4647,0,0
s_4648,0,0
s_4649,1,0
s_4650,1,0
s_4651,0,0
s_4652,1,0
s_4653,1,0
s_4654,0,0
s_4655,1,0
s_4656,1,0
s_4657,0,0
s_4658,0,0
s_4659,0,0
s_4660,1,1
s_4661,1,0
s_4662,0,0
s_4663,0,0
s_4664,1,1
s_4665,0,0
s_4666,1,0
s_4667,1,0
s_4668,0,0
s_4669,0,0
s_4670,0,0
s_4671,0,0
s_4672,0,0
s_4673,1,0
s_4674,0,0
s_4675,0,0
s_4676,1,0
s_4677,0,0
s_4678,1,0
s_4679,0,0
s_4680,0,0
s_4681,1,0
s_4682,1,0
s_4683,0,0
s_4684,1,0
s_4685,1,0
s_4686,1,0
s_4687,0,0
s_4688,0,0
s_4689,1,0
s_4690,1,0
s_4691,0,0
s_4692,1,0
s_4693,1,0
s_4694,0,0
s_4695,0,0
s_4696,1,0
s_4697,1,0
s_4698,1,0
s_4699,0,0
s_4700,0,0
s_4701,0,0
s_4702,0,0
s_4703,0,0
s_4704,0,0
s_4705,0,0
s_4706,0,0
s_4707,0,0
s_4708,0,0
s_4709,1,0
s_4710,0,0
s_4711,1,0
s_4712,0,0
s_4713,0,0
s_4714,0,0
s_4715,0,0
s_4716,0,0
s_4717,1,0
s_4718,0,0
s_4719,0,0
s_4720,0,0
s_4721,0,0
s_4722,0,0
s_4723,0,0
s_4724,0,0
s_4725,0,0
s_4726,0,0
s_4727,1,0
s_4728,0,0
s_4729,0,0
s_4730,0,0
s_4731,0,0
s_4732,0,0
s_4733,0,0
s_4734,0,0
s_4735,1,1
s_4736,0,0
s_4737,0,0
s_4738,0,0
s_4739,0,0
s_4740,0,0
s_4741,0,0
s_4742,0,0
s_4743,0,0
s_4744,0,0
s_4745,0,0
s_4746,0,0
s_4747,0,0
s_4748,0,0
s_4749,0,0
s_4750,0,0
s_4751,0,0
s_4752,0,0
s_4753,0,0
s_4754,0,0
s_4755,0,0
s_4756,0,0
s_4757,0,0
s_4758,0,0
s_4759,0,0
s_4760,0,0
s_4761,0,0
s_4762,0,0
s_4763,0,0
s_4764,1,0
s_4765,0,0
s_4766,0,0
s_4767,0,0
s_4768,0,0
s_4769,0,0
s_4770,0,0
s_4771,0,0
s_4772,0,0
s_4773,0,0
s_4774,0,0
s_4775,0,0
s_4776,0,0
s_4777,0,0
s_4778,0,0
s_4779,0,0
s_4780,0,0
s_4781,0,0
s_4782,0,0
s_4783,0,0
s_4784,0,0
s_4785,0,0
s_4786,0,0
s_4787,0,0
s_4788,0,0
s_4789,1,1
s_4790,0,0
s_4791,0,0
s_4792,0,0
s_4793,0,0
s_4794,0,0
s_4795,0,0
s_4796,0,0
s_4797,0,0
s_4798,0,0
s_4799,0,0
s_4800,0,0
s_4801,0,0
s_4802,0,0
s_4803,0,0
s_4804,0,0
s_4805,0,0
s_4806,0,0
s_4807,0,0
s_4808,0,0
s_4809,0,0
s_4810,0,0
s_4811,0,0
